epoch,accuracy,loss,val_accuracy,val_loss
0,0.3636866807937622,1.3315575122833252,0.43515849113464355,1.2729994058609009
1,0.6446166634559631,0.9895923733711243,0.6570605039596558,0.9112528562545776
2,0.792969822883606,0.5768988728523254,0.7204610705375671,0.7674399614334106
3,0.8466648459434509,0.4170190691947937,0.7118155360221863,0.8006722927093506
4,0.8859673142433167,0.32599496841430664,0.6772334575653076,0.8405887484550476
5,0.9083864092826843,0.26859697699546814,0.7118155360221863,0.8813015818595886
6,0.9219484925270081,0.22708608210086823,0.6916426420211792,0.9381045699119568
7,0.9377248883247375,0.19074992835521698,0.6974063515663147,1.0040059089660645
8,0.9487960338592529,0.1646157205104828,0.6714697480201721,1.0849955081939697
9,0.9559922218322754,0.14380903542041779,0.6887608170509338,1.129202961921692
10,0.9615278244018555,0.12261191010475159,0.6685879230499268,1.1683363914489746
11,0.9665098190307617,0.1129235252737999,0.6628242135047913,1.246321439743042
12,0.9706615209579468,0.10267958045005798,0.6570605039596558,1.311877727508545
13,0.9717686176300049,0.09020576626062393,0.6628242135047913,1.31121826171875
14,0.971491813659668,0.08968957513570786,0.6685879230499268,1.3547567129135132
15,0.9717686176300049,0.08728022873401642,0.6685879230499268,1.4009943008422852
16,0.976473867893219,0.0753382071852684,0.6743515729904175,1.4417682886123657
17,0.975643515586853,0.07869299501180649,0.680115282535553,1.4872329235076904
18,0.9753667116165161,0.07329660654067993,0.6484149694442749,1.5735408067703247
19,0.975643515586853,0.07008562237024307,0.6685879230499268,1.5625293254852295
20,0.975643515586853,0.0687224417924881,0.6657060384750366,1.585799217224121
21,0.977027416229248,0.06347326934337616,0.6772334575653076,1.5896457433700562
22,0.9773041605949402,0.06642024964094162,0.680115282535553,1.6333237886428833
23,0.977027416229248,0.061362385749816895,0.6599423885345459,1.648467779159546
24,0.9795184135437012,0.059523805975914,0.6657060384750366,1.6497480869293213
